path,c1,c2,c3,c4,c5,c6,c7,c8,c9,Outcome,,,
AKT,9.5,5.5,5.5,2.5,2.5,2.5,5.5,1.5,1.5,yes,,,
AKT,5.5,3.5,5.5,5.5,3.5,3.5,4.5,10.5,1.5,yes,,,
AKT,1.5,1.5,1.5,1.5,2.5,2.5,2.5,1.5,1.5,no,,,
AKT,9.5,10.5,10.5,1.5,10.5,8.5,3.5,3.5,1.5,yes,,,
AKT,6.5,3.5,4.5,1.5,5.5,2.5,3.5,9.5,1.5,yes,,,
AKT,1.5,1.5,1.5,1.5,2.5,1.5,2.5,1.5,1.5,no,,,
AKT,10.5,4.5,2.5,1.5,3.5,2.5,4.5,3.5,10.5,yes,,,
AKT,4.5,1.5,1.5,1.5,2.5,1.5,3.5,1.5,1.5,no,,,
AKT,5.5,3.5,4.5,1.5,8.5,10.5,4.5,9.5,1.5,yes,,,
AKT,8.5,3.5,8.5,3.5,4.5,9.5,8.5,9.5,8.5,yes,,,
AKT,1.5,1.5,1.5,1.5,2.5,1.5,3.5,2.5,1.5,no,,,
AKT,5.5,1.5,3.5,1.5,2.5,1.5,2.5,1.5,1.5,yes,,,
AKT,6.5,10.5,2.5,8.5,10.5,2.5,7.5,8.5,10.5,yes,,,
AKT,1.5,3.5,3.5,2.5,2.5,1.5,7.5,2.5,1.5,yes,,,
AKT,9.5,4.5,5.5,10.5,6.5,10.5,4.5,8.5,1.5,yes,,,
FASL,10.5,6.5,4.5,1.5,3.5,4.5,3.5,2.5,3.5,yes,,,
FASL,1.5,1.5,2.5,1.5,2.5,2.5,4.5,2.5,1.5,no,,,
FASL,1.5,1.5,4.5,1.5,2.5,1.5,2.5,1.5,1.5,no,,,
FASL,5.5,3.5,1.5,2.5,2.5,1.5,2.5,1.5,1.5,yes,,,
FASL,3.5,1.5,1.5,1.5,2.5,3.5,3.5,1.5,1.5,no,,,
FASL,2.5,1.5,1.5,1.5,3.5,1.5,2.5,1.5,1.5,no,,,
FASL,2.5,2.5,2.5,1.5,1.5,1.5,7.5,1.5,1.5,no,,,
FASL,4.5,1.5,1.5,2.5,2.5,1.5,2.5,1.5,1.5,no,,,
FASL,5.5,2.5,1.5,1.5,2.5,1.5,3.5,1.5,1.5,yes,,,
FASL,3.5,1.5,1.5,1.5,2.5,2.5,7.5,1.5,1.5,yes,,,
FASL,3.5,5.5,7.5,8.5,8.5,9.5,7.5,10.5,7.5,yes,,,
FASL,5.5,10.5,6.5,1.5,10.5,4.5,4.5,10.5,10.5,yes,,,
FASL,3.5,3.5,6.5,4.5,5.5,8.5,4.5,4.5,1.5,yes,,,
FASL,3.5,6.5,6.5,6.5,5.5,10.5,6.5,8.5,3.5,yes,,,
FASL,4.5,1.5,1.5,1.5,2.5,1.5,3.5,1.5,1.5,no,,,
FASL,2.5,1.5,1.5,2.5,3.5,1.5,2.5,1.5,1.5,no,,,
FASL,1.5,1.5,1.5,1.5,2.5,1.5,3.5,1.5,1.5,no,,,
FASL,3.5,1.5,1.5,2.5,2.5,1.5,1.5,1.5,1.5,no,,,
FASL,4.5,1.5,1.5,1.5,2.5,1.5,3.5,1.5,1.5,no,,,
FASL,1.5,1.5,1.5,1.5,2.5,1.5,2.5,1.5,1.5,no,,,
FASL,2.5,1.5,1.5,1.5,2.5,1.5,3.5,1.5,1.5,no,,,
FASL,1.5,1.5,1.5,1.5,2.5,1.5,3.5,1.5,1.5,no,,,
FASL,2.5,1.5,1.5,2.5,2.5,1.5,1.5,1.5,1.5,no,,,
FASL,5.5,1.5,1.5,1.5,2.5,1.5,3.5,1.5,1.5,yes,,,
FASL,9.5,6.5,9.5,2.5,10.5,6.5,2.5,9.5,10.5,yes,,,
FASL,7.5,5.5,6.5,10.5,5.5,10.5,7.5,9.5,4.5,yes,,,
FASL,10.5,3.5,5.5,1.5,10.5,5.5,3.5,10.5,2.5,yes,,,
FASL,2.5,3.5,4.5,4.5,2.5,5.5,2.5,5.5,1.5,yes,,,
FASL,4.5,1.5,2.5,1.5,2.5,1.5,3.5,1.5,1.5,yes,,,
FASL,8.5,2.5,3.5,1.5,6.5,3.5,7.5,1.5,1.5,yes,,,
FASL,10.5,10.5,10.5,10.5,10.5,1.5,8.5,8.5,8.5,yes,,,
FASL,7.5,3.5,4.5,4.5,3.5,3.5,3.5,2.5,7.5,yes,,,
FASL,10.5,10.5,10.5,8.5,2.5,10.5,4.5,1.5,1.5,yes,,,
FASL,1.5,6.5,8.5,10.5,8.5,10.5,5.5,7.5,1.5,yes,,,
FASL,1.5,1.5,1.5,1.5,2.5,1.5,2.5,3.5,1.5,no,,,
FASL,6.5,5.5,4.5,4.5,3.5,9.5,7.5,8.5,3.5,yes,,,
FASL,1.5,3.5,1.5,2.5,2.5,2.5,5.5,3.5,2.5,no,,,
FASL,8.5,6.5,4.5,3.5,5.5,9.5,3.5,1.5,1.5,yes,,,
FASL,10.5,3.5,3.5,10.5,2.5,10.5,7.5,3.5,3.5,yes,,,
FASL,10.5,10.5,10.5,3.5,10.5,8.5,8.5,1.5,1.5,yes,,,
FASL,3.5,3.5,2.5,1.5,2.5,3.5,3.5,1.5,1.5,no,,,
FASL,1.5,1.5,1.5,1.5,2.5,5.5,1.5,1.5,1.5,yes,,,
FASL,8.5,3.5,3.5,1.5,2.5,2.5,3.5,2.5,1.5,yes,,,
FASL,4.5,5.5,5.5,10.5,4.5,10.5,7.5,5.5,8.5,yes,,,
FASL,1.5,1.5,1.5,1.5,4.5,3.5,1.5,1.5,1.5,no,,,
FASL,3.5,2.5,1.5,1.5,2.5,2.5,3.5,1.5,1.5,no,,,
FASL,1.5,1.5,2.5,2.5,2.5,1.5,3.5,1.5,1.5,no,,,
FASL,4.5,2.5,1.5,1.5,2.5,2.5,3.5,1.5,1.5,no,,,
FASL,10.5,10.5,10.5,2.5,10.5,10.5,5.5,3.5,3.5,yes,,,
FASL,5.5,3.5,5.5,1.5,8.5,10.5,5.5,3.5,1.5,yes,,,
FASL,5.5,4.5,6.5,7.5,9.5,7.5,8.5,10.5,1.5,yes,,,
FASL,1.5,1.5,1.5,1.5,2.5,1.5,2.5,1.5,1.5,no,,,
FASL,7.5,5.5,3.5,7.5,4.5,10.5,7.5,5.5,5.5,yes,,,
FASL,3.5,1.5,1.5,1.5,2.5,1.5,3.5,1.5,1.5,no,,,
FASL,8.5,3.5,5.5,4.5,5.5,10.5,1.5,6.5,2.5,yes,,,
FASL,1.5,1.5,1.5,1.5,10.5,1.5,1.5,1.5,1.5,yes,,,
FASL,5.5,1.5,3.5,1.5,2.5,1.5,2.5,1.5,1.5,yes,,,
FASL,2.5,1.5,1.5,1.5,2.5,1.5,3.5,1.5,1.5,no,,,
FASL,5.5,10.5,8.5,10.5,8.5,10.5,3.5,6.5,3.5,yes,,,
FASL,3.5,1.5,1.5,1.5,2.5,1.5,2.5,2.5,1.5,no,,,
FASL,3.5,1.5,1.5,1.5,3.5,1.5,2.5,1.5,1.5,no,,,
FASL,5.5,1.5,1.5,1.5,2.5,2.5,3.5,3.5,1.5,yes,,,
FASL,4.5,1.5,1.5,1.5,2.5,1.5,2.5,1.5,1.5,no,,,
FASL,3.5,1.5,1.5,1.5,2.5,1.5,1.5,1.5,1.5,no,,,
FASL,4.5,1.5,2.5,1.5,2.5,1.5,2.5,1.5,1.5,no,,,
FASL,1.5,1.5,1.5,1.5,1.5,0.5,2.5,1.5,1.5,no,,,
FASL,3.5,1.5,1.5,1.5,2.5,1.5,1.5,1.5,1.5,no,,,
FASL,2.5,1.5,1.5,1.5,2.5,1.5,1.5,1.5,1.5,no,,,
FASL,9.5,5.5,5.5,4.5,4.5,5.5,4.5,3.5,3.5,yes,,,
FASL,1.5,1.5,1.5,1.5,2.5,5.5,1.5,1.5,1.5,yes,,,
FASL,2.5,1.5,1.5,1.5,2.5,1.5,2.5,1.5,1.5,no,,,
FASL,1.5,1.5,3.5,1.5,2.5,0.5,2.5,1.5,1.5,no,,,
FASL,3.5,4.5,5.5,2.5,6.5,8.5,4.5,1.5,1.5,yes,,,
FASL,1.5,1.5,1.5,1.5,3.5,2.5,2.5,1.5,1.5,no,,,
FASL,3.5,1.5,1.5,3.5,8.5,1.5,5.5,8.5,1.5,yes,,,
MAPK,8.5,8.5,7.5,4.5,10.5,10.5,7.5,8.5,7.5,yes,,,
MAPK,1.5,1.5,1.5,1.5,1.5,1.5,3.5,1.5,1.5,no,,,
MAPK,7.5,2.5,4.5,1.5,6.5,10.5,5.5,4.5,3.5,yes,,,
MAPK,10.5,10.5,8.5,6.5,4.5,5.5,8.5,10.5,1.5,yes,,,
MAPK,4.5,1.5,1.5,1.5,2.5,3.5,1.5,1.5,1.5,no,,,
MAPK,1.5,1.5,1.5,1.5,2.5,1.5,1.5,1.5,1.5,no,,,
MAPK,5.5,5.5,5.5,6.5,3.5,10.5,3.5,1.5,1.5,yes,,,
MAPK,1.5,2.5,2.5,1.5,2.5,1.5,2.5,1.5,1.5,no,,,
MAPK,2.5,1.5,1.5,1.5,2.5,1.5,3.5,1.5,1.5,no,,,
MAPK,1.5,1.5,2.5,1.5,3.5,0.5,1.5,1.5,1.5,no,,,
MAPK,9.5,9.5,10.5,3.5,6.5,10.5,7.5,10.5,6.5,yes,,,
MAPK,10.5,7.5,7.5,4.5,5.5,10.5,5.5,7.5,2.5,yes,,,
MAPK,4.5,1.5,1.5,1.5,2.5,1.5,3.5,2.5,1.5,no,,,
MAPK,3.5,1.5,1.5,1.5,2.5,1.5,3.5,1.5,1.5,no,,,
MAPK,1.5,1.5,1.5,2.5,1.5,3.5,1.5,1.5,7.5,no,,,
MAPK,5.5,1.5,1.5,1.5,2.5,0.5,3.5,1.5,1.5,yes,,,
MAPK,4.5,1.5,1.5,1.5,2.5,2.5,3.5,2.5,1.5,no,,,
MAPK,5.5,6.5,7.5,8.5,8.5,10.5,3.5,10.5,3.5,yes,,,
MAPK,10.5,8.5,10.5,10.5,6.5,1.5,3.5,1.5,10.5,yes,,,
MAPK,3.5,1.5,1.5,1.5,2.5,1.5,3.5,1.5,1.5,no,,,
MAPK,1.5,1.5,1.5,2.5,1.5,1.5,1.5,1.5,1.5,no,,,
MAPK,3.5,1.5,1.5,1.5,2.5,1.5,1.5,1.5,1.5,no,,,
MAPK,1.5,1.5,1.5,1.5,2.5,1.5,3.5,1.5,1.5,no,,,
MAPK,1.5,1.5,1.5,1.5,2.5,1.5,2.5,1.5,1.5,no,,,
MAPK,6.5,10.5,10.5,10.5,8.5,10.5,10.5,10.5,7.5,yes,,,
MAPK,8.5,6.5,5.5,4.5,3.5,10.5,6.5,1.5,1.5,yes,,,
MAPK,5.5,8.5,7.5,7.5,10.5,10.5,5.5,7.5,1.5,yes,,,
MAPK,2.5,1.5,1.5,1.5,2.5,1.5,3.5,1.5,1.5,no,,,
MAPK,5.5,10.5,10.5,3.5,8.5,1.5,5.5,10.5,3.5,yes,,,
MAPK,4.5,1.5,1.5,1.5,2.5,1.5,3.5,1.5,1.5,no,,,
MAPK,5.5,3.5,3.5,3.5,6.5,10.5,3.5,1.5,1.5,yes,,,
MAPK,1.5,1.5,1.5,1.5,1.5,1.5,3.5,1.5,1.5,no,,,
MAPK,1.5,1.5,1.5,1.5,2.5,1.5,1.5,1.5,1.5,no,,,
MAPK,6.5,1.5,1.5,1.5,2.5,1.5,3.5,1.5,1.5,yes,,,
MAPK,5.5,8.5,8.5,8.5,5.5,10.5,7.5,8.5,1.5,yes,,,
MAPK,8.5,7.5,6.5,4.5,4.5,10.5,5.5,1.5,1.5,yes,,,
MAPK,2.5,1.5,1.5,1.5,1.5,1.5,3.5,1.5,1.5,no,,,
MAPK,1.5,5.5,8.5,6.5,5.5,8.5,7.5,10.5,1.5,yes,,,
MAPK,10.5,5.5,6.5,10.5,6.5,10.5,7.5,7.5,10.5,yes,,,
MAPK,5.5,8.5,4.5,10.5,5.5,8.5,9.5,10.5,1.5,yes,,,
MAPK,1.5,2.5,3.5,1.5,2.5,1.5,3.5,1.5,1.5,no,,,
MAPK,10.5,10.5,10.5,8.5,6.5,8.5,7.5,10.5,1.5,yes,,,
MAPK,7.5,5.5,10.5,10.5,10.5,10.5,4.5,10.5,3.5,yes,,,
MAPK,5.5,1.5,1.5,1.5,2.5,1.5,2.5,1.5,1.5,yes,,,
MAPK,1.5,1.5,1.5,1.5,2.5,1.5,3.5,1.5,1.5,no,,,
MAPK,3.5,1.5,1.5,1.5,2.5,1.5,3.5,1.5,1.5,no,,,
MAPK,4.5,1.5,1.5,1.5,2.5,1.5,3.5,1.5,1.5,no,,,
MAPK,8.5,4.5,4.5,5.5,4.5,7.5,7.5,8.5,2.5,yes,,,
MAPK,5.5,1.5,1.5,4.5,2.5,1.5,3.5,1.5,1.5,yes,,,
MAPK,1.5,1.5,1.5,1.5,2.5,1.5,1.5,1.5,1.5,no,,,
MAPK,3.5,1.5,1.5,1.5,2.5,1.5,2.5,1.5,1.5,no,,,
MAPK,9.5,7.5,7.5,5.5,5.5,10.5,7.5,8.5,3.5,yes,,,
MAPK,10.5,8.5,8.5,4.5,10.5,10.5,8.5,1.5,1.5,yes,,,
MAPK,1.5,1.5,1.5,1.5,2.5,1.5,3.5,1.5,1.5,no,,,
MAPK,5.5,1.5,1.5,1.5,2.5,1.5,3.5,1.5,1.5,yes,,,
MAPK,1.5,1.5,1.5,1.5,2.5,1.5,3.5,1.5,1.5,no,,,
MAPK,5.5,10.5,10.5,9.5,6.5,10.5,7.5,10.5,5.5,yes,,,
MAPK,10.5,10.5,9.5,3.5,7.5,5.5,3.5,5.5,1.5,yes,,,
MAPK,1.5,1.5,1.5,1.5,1.5,1.5,3.5,1.5,1.5,no,,,
MAPK,1.5,1.5,1.5,1.5,1.5,1.5,3.5,1.5,1.5,no,,,
MAPK,5.5,1.5,1.5,1.5,1.5,1.5,3.5,1.5,1.5,no,,,
MAPK,8.5,10.5,10.5,10.5,5.5,10.5,8.5,10.5,6.5,yes,,,
MAPK,8.5,10.5,8.5,8.5,4.5,8.5,7.5,7.5,1.5,yes,,,
MAPK,1.5,1.5,1.5,1.5,2.5,1.5,3.5,1.5,1.5,no,,,
MAPK,10.5,10.5,10.5,10.5,7.5,10.5,7.5,10.5,4.5,yes,,,
MAPK,10.5,10.5,10.5,10.5,3.5,10.5,10.5,6.5,1.5,yes,,,
MAPK,8.5,7.5,8.5,7.5,5.5,5.5,5.5,10.5,2.5,yes,,,
MAPK,1.5,1.5,1.5,1.5,2.5,1.5,2.5,1.5,1.5,no,,,
MAPK,1.5,1.5,1.5,1.5,2.5,1.5,3.5,1.5,1.5,no,,,
MAPK,6.5,10.5,7.5,7.5,6.5,4.5,8.5,10.5,2.5,yes,,,
MAPK,6.5,1.5,3.5,1.5,2.5,1.5,3.5,1.5,1.5,yes,,,
MAPK,1.5,1.5,1.5,2.5,2.5,1.5,3.5,1.5,1.5,no,,,
MAPK,10.5,6.5,4.5,3.5,10.5,10.5,9.5,10.5,1.5,yes,,,
MAPK,4.5,1.5,1.5,3.5,1.5,5.5,2.5,1.5,1.5,yes,,,
MAPK,7.5,5.5,6.5,3.5,3.5,8.5,7.5,4.5,1.5,yes,,,
NOTCH,10.5,5.5,5.5,6.5,3.5,10.5,7.5,9.5,2.5,yes,,,
NOTCH,1.5,1.5,1.5,1.5,2.5,1.5,2.5,1.5,1.5,no,,,
NOTCH,10.5,5.5,7.5,4.5,4.5,10.5,8.5,9.5,1.5,yes,,,
NOTCH,8.5,9.5,9.5,5.5,3.5,5.5,7.5,7.5,1.5,yes,,,
NOTCH,1.5,1.5,1.5,1.5,1.5,1.5,3.5,1.5,1.5,no,,,
NOTCH,10.5,10.5,10.5,3.5,10.5,10.5,9.5,10.5,1.5,yes,,,
NOTCH,7.5,4.5,7.5,4.5,3.5,7.5,7.5,6.5,1.5,yes,,,
NOTCH,6.5,8.5,7.5,5.5,6.5,8.5,8.5,9.5,2.5,yes,,,
NOTCH,8.5,4.5,6.5,3.5,3.5,1.5,4.5,3.5,1.5,yes,,,
NOTCH,10.5,4.5,5.5,5.5,5.5,10.5,4.5,1.5,1.5,yes,,,
NOTCH,3.5,3.5,2.5,1.5,3.5,1.5,3.5,6.5,1.5,no,,,
NOTCH,3.5,1.5,4.5,1.5,2.5,0.5,3.5,1.5,1.5,no,,,
NOTCH,10.5,8.5,8.5,2.5,8.5,10.5,4.5,8.5,10.5,yes,,,
NOTCH,9.5,8.5,8.5,5.5,6.5,2.5,4.5,10.5,4.5,yes,,,
NOTCH,8.5,10.5,10.5,8.5,6.5,9.5,3.5,10.5,10.5,yes,,,
NOTCH,10.5,4.5,3.5,2.5,3.5,10.5,5.5,3.5,2.5,yes,,,
NOTCH,5.5,1.5,3.5,3.5,2.5,2.5,2.5,3.5,1.5,yes,,,
NOTCH,3.5,1.5,1.5,3.5,1.5,1.5,3.5,1.5,1.5,no,,,
NOTCH,2.5,1.5,1.5,1.5,2.5,1.5,3.5,1.5,1.5,no,,,
NOTCH,1.5,1.5,1.5,1.5,2.5,5.5,5.5,1.5,1.5,no,,,
NOTCH,1.5,1.5,1.5,1.5,2.5,1.5,3.5,1.5,1.5,no,,,
NOTCH,5.5,1.5,1.5,2.5,2.5,2.5,3.5,1.5,1.5,yes,,,
NOTCH,8.5,10.5,10.5,8.5,5.5,10.5,7.5,8.5,1.5,yes,,,
NOTCH,8.5,4.5,4.5,1.5,2.5,9.5,3.5,3.5,1.5,yes,,,
NOTCH,4.5,1.5,1.5,1.5,2.5,1.5,3.5,6.5,1.5,yes,,,
NOTCH,3.5,1.5,1.5,1.5,2.5,0.5,3.5,1.5,1.5,no,,,
NOTCH,1.5,2.5,2.5,1.5,2.5,1.5,1.5,1.5,1.5,no,,,
NOTCH,10.5,4.5,4.5,10.5,2.5,10.5,5.5,3.5,3.5,yes,,,
NOTCH,6.5,3.5,3.5,5.5,3.5,10.5,3.5,5.5,3.5,yes,,,
NOTCH,6.5,10.5,10.5,2.5,8.5,10.5,7.5,3.5,3.5,yes,,,
NOTCH,9.5,10.5,10.5,1.5,10.5,8.5,3.5,3.5,1.5,yes,,,
NOTCH,5.5,6.5,6.5,2.5,4.5,10.5,3.5,6.5,1.5,yes,,,
NOTCH,3.5,1.5,1.5,1.5,2.5,1.5,1.5,1.5,1.5,no,,,
NOTCH,3.5,1.5,1.5,1.5,2.5,1.5,2.5,1.5,1.5,no,,,
NOTCH,3.5,1.5,1.5,1.5,2.5,1.5,3.5,1.5,1.5,no,,,
NOTCH,5.5,7.5,7.5,1.5,5.5,8.5,3.5,4.5,1.5,yes,,,
NOTCH,10.5,5.5,8.5,10.5,3.5,10.5,5.5,1.5,3.5,yes,,,
NOTCH,5.5,10.5,10.5,6.5,10.5,10.5,10.5,6.5,5.5,yes,,,
NOTCH,8.5,8.5,9.5,4.5,5.5,10.5,7.5,8.5,1.5,yes,,,
NOTCH,10.5,4.5,4.5,10.5,6.5,10.5,5.5,5.5,1.5,yes,,,
NOTCH,7.5,9.5,4.5,10.5,10.5,3.5,5.5,3.5,3.5,yes,,,
NOTCH,5.5,1.5,4.5,1.5,2.5,1.5,3.5,2.5,1.5,yes,,,
NOTCH,10.5,10.5,6.5,3.5,3.5,10.5,4.5,3.5,2.5,yes,,,
NOTCH,3.5,3.5,5.5,2.5,3.5,10.5,7.5,1.5,1.5,yes,,,
NOTCH,10.5,8.5,8.5,2.5,3.5,4.5,8.5,7.5,8.5,yes,,,
NOTCH,1.5,1.5,1.5,1.5,2.5,1.5,3.5,1.5,1.5,no,,,
NOTCH,8.5,4.5,7.5,1.5,3.5,10.5,3.5,9.5,2.5,yes,,,
NOTCH,5.5,1.5,1.5,1.5,2.5,1.5,3.5,1.5,1.5,yes,,,
NOTCH,3.5,3.5,5.5,2.5,3.5,10.5,7.5,1.5,1.5,yes,,,
NOTCH,7.5,2.5,4.5,1.5,3.5,4.5,3.5,3.5,1.5,yes,,,
NOTCH,3.5,1.5,1.5,1.5,2.5,1.5,3.5,2.5,1.5,yes,,,
NOTCH,3.5,1.5,3.5,1.5,2.5,0.5,2.5,1.5,1.5,yes,,,
NOTCH,3.5,1.5,1.5,1.5,2.5,1.5,2.5,1.5,1.5,no,,,
NOTCH,1.5,1.5,1.5,1.5,2.5,1.5,2.5,1.5,1.5,no,,,
NOTCH,1.5,1.5,1.5,1.5,2.5,1.5,3.5,1.5,1.5,no,,,
NOTCH,10.5,5.5,7.5,3.5,3.5,7.5,3.5,3.5,8.5,yes,,,
NOTCH,3.5,1.5,1.5,1.5,2.5,1.5,3.5,1.5,1.5,no,,,
NOTCH,2.5,1.5,1.5,2.5,2.5,1.5,3.5,1.5,1.5,no,,,
NOTCH,1.5,4.5,3.5,10.5,4.5,10.5,5.5,6.5,1.5,yes,,,
NOTCH,10.5,4.5,6.5,1.5,2.5,10.5,5.5,3.5,1.5,yes,,,
NOTCH,7.5,4.5,5.5,10.5,2.5,10.5,3.5,8.5,2.5,yes,,,
NOTCH,8.5,10.5,10.5,10.5,8.5,10.5,10.5,7.5,3.5,yes,,,
NOTCH,10.5,10.5,10.5,10.5,10.5,10.5,4.5,10.5,10.5,yes,,,
NOTCH,3.5,1.5,1.5,1.5,3.5,1.5,2.5,1.5,1.5,no,,,
NOTCH,6.5,1.5,3.5,1.5,4.5,5.5,5.5,10.5,1.5,yes,,,
NOTCH,5.5,6.5,6.5,8.5,6.5,10.5,4.5,10.5,4.5,yes,,,
NOTCH,1.5,1.5,1.5,1.5,2.5,1.5,1.5,1.5,1.5,no,,,
NOTCH,1.5,1.5,1.5,1.5,2.5,1.5,3.5,1.5,1.5,no,,,
NOTCH,8.5,8.5,8.5,1.5,2.5,0.5,6.5,10.5,1.5,yes,,,
NOTCH,10.5,4.5,4.5,6.5,2.5,10.5,2.5,3.5,1.5,yes,,,
NOTCH,1.5,1.5,1.5,1.5,2.5,0.5,2.5,1.5,1.5,no,,,
NOTCH,5.5,5.5,7.5,8.5,6.5,10.5,7.5,4.5,1.5,yes,,,
NOTCH,5.5,3.5,4.5,3.5,4.5,5.5,4.5,7.5,1.5,yes,,,
NOTCH,5.5,4.5,3.5,1.5,2.5,0.5,2.5,3.5,1.5,yes,,,
NOTCH,8.5,2.5,1.5,1.5,5.5,1.5,1.5,1.5,1.5,yes,,,
SHH,9.5,1.5,2.5,6.5,4.5,10.5,7.5,7.5,2.5,yes,,,
